strain	taxonomyId	accession	currentAccession	isRef	level	assemblyStatus	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	taxonomicLevelSerotype	taxonomicLevelIsolate	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	taxonomicLevelStrainId	taxonomicLevelSerotypeId	taxonomicLevelIsolateId	commonName	otherTaxa	ucscBrowser	geneModelUrl
	29031	GCF_024763615.1	GCF_024763615.1	True	Chromosome	current	5.0	351607531	645	111783093	2	14.1	34.0	Full annotation	GCA_024763615.2	Phlebotomus papatasi	29031	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43787,41831,7197,7198,13203,44556,29031	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Psychodidae	Phlebotomus	Phlebotomus papatasi				2759		33208	6656	50557	7147	7197	13203	29031						https://genome.ucsc.edu/h/GCF_024763615.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/024/763/615/GCF_024763615.1/genes/GCF_024763615.1_Ppap_2.1.ncbiRefSeq.gtf.gz
	5871	GCF_024862765.1	GCF_024862765.1	True	Contig	current		12779071	7	3243686	2	186	53.5	Full annotation	GCA_024862765.1	Babesia caballi	5871	1,131567,2759,2698737,33630,5794,422676,5863,32594,5864,5871	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	Babesia	Babesia caballi				2759			5794	422676	5863	32594	5864	5871						https://genome.ucsc.edu/h/GCF_024862765.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/024/862/765/GCF_024862765.1/genes/GCF_024862765.1_Bcaballi_D6B2_v1.0.ncbiRefSeq.gtf.gz
ASAG-D25	370111	GCF_025118245.1	GCF_025118245.1	True	Complete Genome	current	2.0	4299756	2	2487296	1	222	58.0		GCA_025118245.1	Brucella pseudintermedia	370111	1,131567,2,3379134,1224,28211,356,118882,2826938,234,370111	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella pseudintermedia				2		3379134	1224	28211	356	118882	234	370111						https://genome.ucsc.edu/h/GCF_025118245.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/025/118/245/GCF_025118245.1/genes/GCF_025118245.1_ASM2511824v1.ncbiGene.gtf.gz
USDA-ARS-USMARC-49741	585	GCF_025200655.1	GCF_025200655.1	True	Complete Genome	current	2.0	4035522	2	3942283	1	201	38.0		GCA_025200655.1	Proteus vulgaris	585	1,131567,2,3379134,1224,1236,91347,1903414,583,585	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus vulgaris				2		3379134	1224	1236	91347	1903414	583	585						https://genome.ucsc.edu/h/GCF_025200655.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/025/200/655/GCF_025200655.1/genes/GCF_025200655.1_ASM2520065v1.ncbiGene.gtf.gz
32	44250	GCF_025547055.2	GCF_025547055.2	True	Scaffold	current		6582090	26	848902	3	243	46.0		GCA_025547055.2	Paenibacillus alvei	44250	1,131567,2,1783272,1239,91061,1385,186822,44249,44250	Bacteria	Bacteria		Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus alvei				2		1783272	1239	91061	1385	186822	44249	44250						https://genome.ucsc.edu/h/GCF_025547055.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/025/547/055/GCF_025547055.2/genes/GCF_025547055.2_ASM2554705v2.ncbiGene.gtf.gz
CHC155	210	GCF_025998455.1	GCF_025998455.1	True	Complete Genome	current	1.0	1696601	1	1696601	1	143	38.5		GCA_025998455.1	Helicobacter pylori	210	1,131567,2,3379134,29547,3031852,213849,72293,209,210	Bacteria	Bacteria		Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori				2		3379134	29547	3031852	213849	72293	209	210						https://genome.ucsc.edu/h/GCF_025998455.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/025/998/455/GCF_025998455.1/genes/GCF_025998455.1_ASM2599845v1.ncbiGene.gtf.gz
VSF16	2950025	GCF_026151335.1	GCF_026151335.1	True	Contig	current		4139447	134	279300	4	236.24	37.5		GCA_026151335.1	Leptospira soteropolitanensis	2950025	1,131567,2,3379134,203691,203692,1643688,170,171,2950025	Bacteria	Bacteria		Pseudomonadati	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira soteropolitanensis				2		3379134	203691	203692	1643688	170	171	2950025						https://genome.ucsc.edu/h/GCF_026151335.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/026/151/335/GCF_026151335.1/genes/GCF_026151335.1_ASM2615133v1.ncbiGene.gtf.gz
VSF14	2950024	GCF_026151345.1	GCF_026151345.1	True	Scaffold	current		4061284	5	3669564	1	181.64	37.5		GCA_026151345.1	Leptospira paudalimensis	2950024	1,131567,2,3379134,203691,203692,1643688,170,171,2950024	Bacteria	Bacteria		Pseudomonadati	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira paudalimensis				2		3379134	203691	203692	1643688	170	171	2950024						https://genome.ucsc.edu/h/GCF_026151345.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/026/151/345/GCF_026151345.1/genes/GCF_026151345.1_ASM2615134v1.ncbiGene.gtf.gz
VSF25	2950023	GCF_026151395.1	GCF_026151395.1	True	Contig	current		3933378	24	2892476	1	203.82	37.5		GCA_026151395.1	Leptospira limi	2950023	1,131567,2,3379134,203691,203692,1643688,170,171,2950023	Bacteria	Bacteria		Pseudomonadati	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira limi				2		3379134	203691	203692	1643688	170	171	2950023						https://genome.ucsc.edu/h/GCF_026151395.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/026/151/395/GCF_026151395.1/genes/GCF_026151395.1_ASM2615139v1.ncbiGene.gtf.gz
G3	412133	GCF_026262505.1	GCF_026262505.1	True	Chromosome	current	6.0	181466644	218	27737965	3	180	32.5	Full annotation	GCA_026262505.1	Trichomonas vaginalis	5722	1,131567,2759,2611341,5719,37104,181550,5721,5722,412133	Metamonada	Eukaryota			Parabasalia		Trichomonadida	Trichomonadidae	Trichomonas	Trichomonas vaginalis			Trichomonas vaginalis G3	2759			5719		37104	181550	5721	5722			412133			https://genome.ucsc.edu/h/GCA_026262505.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/026/262/505/GCF_026262505.1/genes/GCF_026262505.1_NYU_TvagG3_2.ncbiRefSeq.gtf.gz
E-TC7	2994648	GCF_026344075.1	GCF_026344075.1	True	Contig	current		4708215	19	603234	3	100	56.5		GCA_026344075.1	Enterobacter nematophilus	2994648	1,131567,2,3379134,1224,1236,91347,543,547,2994648	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter nematophilus				2		3379134	1224	1236	91347	543	547	2994648						https://genome.ucsc.edu/h/GCF_026344075.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/026/344/075/GCF_026344075.1/genes/GCF_026344075.1_ASM2634407v1.ncbiGene.gtf.gz
	323732	GCF_028658345.1	GCF_028658345.1	True	Chromosome	current	5.0	10408054	165	1428345	3	150	37.5	Full annotation	GCA_028658345.1	Babesia duncani	323732	1,131567,2759,2698737,33630,5794,422676,5863,32594,5864,323732	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	Babesia	Babesia duncani				2759			5794	422676	5863	32594	5864	323732						https://genome.ucsc.edu/h/GCF_028658345.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/658/345/GCF_028658345.1/genes/GCF_028658345.1_Bduncani_v1.ncbiRefSeq.gtf.gz
21	1850255	GCF_029883595.1	GCF_029883595.1	False	Complete Genome	current	1.0	4678	1	4678	1	1	40.0		GCA_029883595.1	Iteradensovirus incertum2	3060057	1,10239,2731342,2732092,2732415,2732422,2732534,10780,40120,40122,3060057,1850255	Viruses		Monodnaviria	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Iteradensovirus	Iteradensovirus incertum2					2731342	2732092	2732415	2732422	2732534	10780	40122	3060057						https://genome.ucsc.edu/h/GCF_029883595.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/029/883/595/GCF_029883595.1/genes/GCF_029883595.1_ASM2988359v1.ncbiGene.gtf.gz
	2913478	GCF_029887105.1	GCF_029887105.1	False	Complete Genome	current	1.0	12445	1	12445	1	1	40.5		GCA_029887105.1	Tibrovirus mundri	3060740	1,10239,2559587,2732396,2497569,2497570,2497574,11157,11270,2842407,1299306,3060740,2913478	Viruses		Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Tibrovirus	Tibrovirus mundri					2559587	2732396	2497569	2497574	11157	11270	1299306	3060740						https://genome.ucsc.edu/h/GCF_029887105.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/029/887/105/GCF_029887105.1/genes/GCF_029887105.1_ASM2988710v1.ncbiGene.gtf.gz
HLJ1202	2795181	GCF_029888075.1	GCF_029888075.1	False	Complete Genome	current	3.0	18217	3	12001	1	1	49.0		GCA_029888075.1	Orthonairovirus songlingense	3060504	1,10239,2559587,2732396,2497569,2497571,3151693,3151839,1980415,1980517,3060504,2795181	Viruses		Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Nairoviridae	Orthonairovirus	Orthonairovirus songlingense					2559587	2732396	2497569	3151693	3151839	1980415	1980517	3060504						https://genome.ucsc.edu/h/GCF_029888075.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/029/888/075/GCF_029888075.1/genes/GCF_029888075.1_ASM2988807v1.ncbiGene.gtf.gz
H160	2304647	GCF_029888155.1	GCF_029888155.1	False	Complete Genome	current	2.0	18570	2	14851	1	1	44.0		GCA_029888155.1	Norwavirus beijiense	3060422	1,10239,2559587,2732396,2497569,2497571,3151693,3151839,1980415,2842910,3060422,2304647	Viruses		Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Nairoviridae	Norwavirus	Norwavirus beijiense					2559587	2732396	2497569	3151693	3151839	1980415	2842910	3060422						https://genome.ucsc.edu/h/GCF_029888155.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/029/888/155/GCF_029888155.1/genes/GCF_029888155.1_ASM2988815v1.ncbiGene.gtf.gz
	2825847	GCF_029888495.1	GCF_029888495.1	False	Complete Genome	current	3.0	18127	3	12143	1	1	45.5		GCA_029888495.1	Orthonairovirus yezoense	3060506	1,10239,2559587,2732396,2497569,2497571,3151693,3151839,1980415,1980517,3060506,2825847	Viruses		Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Nairoviridae	Orthonairovirus	Orthonairovirus yezoense					2559587	2732396	2497569	3151693	3151839	1980415	1980517	3060506						https://genome.ucsc.edu/h/GCF_029888495.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/029/888/495/GCF_029888495.1/genes/GCF_029888495.1_ASM2988849v1.ncbiGene.gtf.gz
SB1	669	GCF_030060435.1	GCF_030060435.1	True	Complete Genome	current	3.0	5869008	3	3471426	1	134	45.0		GCA_030060435.1	Vibrio harveyi	669	1,131567,2,3379134,1224,1236,135623,641,662,717610,669	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi				2		3379134	1224	1236	135623	641	662	669						https://genome.ucsc.edu/h/GCF_030060435.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/060/435/GCF_030060435.1/genes/GCF_030060435.1_ASM3006043v1.ncbiGene.gtf.gz
F0345	1659	GCF_030253495.1	GCF_030253495.1	True	Complete Genome	current	1.0	3980311	1	3980311	1	66	71.5		GCA_030253495.1	Actinomyces israelii	1659	1,131567,2,1783272,201174,1760,2037,2049,1654,1659	Bacteria	Bacteria		Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces israelii				2		1783272	201174	1760	2037	2049	1654	1659						https://genome.ucsc.edu/h/GCF_030253495.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/253/495/GCF_030253495.1/genes/GCF_030253495.1_ASM3025349v1.ncbiGene.gtf.gz
ELP1.10	615	GCF_030291735.1	GCF_030291735.1	True	Complete Genome	current	2.0	5160776	2	5031539	1	175	59.5		GCA_030291735.1	Serratia marcescens	615	1,131567,2,3379134,1224,1236,91347,1903411,613,615	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens				2		3379134	1224	1236	91347	1903411	613	615						https://genome.ucsc.edu/h/GCF_030291735.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/291/735/GCF_030291735.1/genes/GCF_030291735.1_ASM3029173v1.ncbiGene.gtf.gz
GTC3P0254T	28450	GCF_030297255.1	GCF_030297255.1	True	Complete Genome	current	2.0	7081111	2	3937683	1	537	68.0		GCA_030297255.1	Burkholderia pseudomallei	28450	1,131567,2,3379134,1224,28216,80840,119060,32008,111527,28450	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei				2		3379134	1224	28216	80840	119060	32008	28450						https://genome.ucsc.edu/h/GCF_030297255.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/297/255/GCF_030297255.1/genes/GCF_030297255.1_ASM3029725v1.ncbiGene.gtf.gz
LuGst23	1422	GCF_030339115.1	GCF_030339115.1	True	Scaffold	current		2744723	108	77525	9	12	52.5		GCA_030339115.1	Geobacillus stearothermophilus	1422	1,131567,2,1783272,1239,91061,1385,3120669,129337,1422	Bacteria	Bacteria		Bacillati	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Geobacillus	Geobacillus stearothermophilus				2		1783272	1239	91061	1385	3120669	129337	1422						https://genome.ucsc.edu/h/GCF_030339115.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/339/115/GCF_030339115.1/genes/GCF_030339115.1_ASM3033911v1.ncbiGene.gtf.gz
FY158	2996112	GCF_030406165.1	GCF_030406165.1	True	Complete Genome	current	1.0	4730290	1	4730290	1	480	55.5		GCA_030406165.1	Enterobacter pseudoroggenkampii	2996112	1,131567,2,3379134,1224,1236,91347,543,547,2996112	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter pseudoroggenkampii				2		3379134	1224	1236	91347	543	547	2996112						https://genome.ucsc.edu/h/GCF_030406165.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/406/165/GCF_030406165.1/genes/GCF_030406165.1_ASM3040616v1.ncbiGene.gtf.gz
aabys	7370	GCF_030504385.1	GCF_030504385.1	True	Scaffold	current		1032604506	339	12461067	23	135	35.0	Full annotation	GCA_030504385.2	Musca domestica	7370	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7203,43733,480118,480117,43738,43742,43754,7366,43910,57894,7369,44052,7370	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Muscidae	Musca	Musca domestica				2759		33208	6656	50557	7147	7366	7369	7370						https://genome.ucsc.edu/h/GCF_030504385.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/504/385/GCF_030504385.1/genes/GCF_030504385.1_Musca_domestica.polishedcontigs.V.1.1.ncbiRefSeq.gtf.gz
MTb-Oman-3215873	1773	GCF_030566675.1	GCF_030566675.1	False	Complete Genome	current	1.0	4516435	1	4516435	1	20	65.5		GCA_030566675.1	Mycobacterium tuberculosis	1773	1,131567,2,1783272,201174,1760,85007,1762,1763,77643,1773	Bacteria	Bacteria		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis				2		1783272	201174	1760	85007	1762	1763	1773						https://genome.ucsc.edu/h/GCF_030566675.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/566/675/GCF_030566675.1/genes/GCF_030566675.1_ASM3056667v1.ncbiGene.gtf.gz
ZF102	1481663	GCF_030580635.1	GCF_030580635.1	True	Complete Genome	current	4.0	4058791	4	2877945	1	260	47.0		GCA_030580635.1	Vibrio metoecus	1481663	1,131567,2,3379134,1224,1236,135623,641,662,1481663	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metoecus				2		3379134	1224	1236	135623	641	662	1481663						https://genome.ucsc.edu/h/GCF_030580635.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/580/635/GCF_030580635.1/genes/GCF_030580635.1_ASM3058063v1.ncbiGene.gtf.gz
Aroian	51031	GCF_031761385.1	GCF_031761385.1	True	Chromosome	current	6.0	234457255	38	38919484	3	62	40.0	Full annotation	GCA_031761385.1	Necator americanus	51031	1,131567,2759,33154,33208,6072,33213,33317,1206794,6231,119089,6236,2301116,2301119,27829,33278,53477,51030,51031	Nematoda	Eukaryota		Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Necator	Necator americanus				2759		33208	6231	119089	6236	33278	51030	51031						https://genome.ucsc.edu/h/GCF_031761385.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/031/761/385/GCF_031761385.1/genes/GCF_031761385.1_Nec_am_Ar_1.0.ncbiRefSeq.gtf.gz
UMB2355B	178214	GCF_033876835.1	GCF_033876835.1	False	Complete Genome	current	1.0	2077311	1	2077311	1	828	38.5		GCA_033876835.1	Facklamia hominis	178214	1,131567,2,1783272,1239,91061,186826,186827,66831,178214	Bacteria	Bacteria		Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Facklamia hominis				2		1783272	1239	91061	186826	186827	66831	178214						https://genome.ucsc.edu/h/GCF_033876835.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/033/876/835/GCF_033876835.1/genes/GCF_033876835.1_ASM3387683v1.ncbiGene.gtf.gz
ATCC 23344	13373	GCF_033956065.1	GCF_033956065.1	True	Complete Genome	current	2.0	5834748	2	3510110	1	261	68.5		GCA_033956065.1	Burkholderia mallei	13373	1,131567,2,3379134,1224,28216,80840,119060,32008,111527,13373	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia mallei				2		3379134	1224	28216	80840	119060	32008	13373						https://genome.ucsc.edu/h/GCF_033956065.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/033/956/065/GCF_033956065.1/genes/GCF_033956065.1_ASM3395606v1.ncbiGene.gtf.gz
170250	3030999	GCF_034008275.1	GCF_034008275.1	True	Contig	current		4952144	89	199762	8	150	56.0		GCA_034008275.1	Enterobacter rongchengensis	3030999	1,131567,2,3379134,1224,1236,91347,543,547,3030999	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter rongchengensis				2		3379134	1224	1236	91347	543	547	3030999						https://genome.ucsc.edu/h/GCF_034008275.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/034/008/275/GCF_034008275.1/genes/GCF_034008275.1_ASM3400827v1.ncbiGene.gtf.gz
170198	3030997	GCF_034008295.1	GCF_034008295.1	True	Contig	current		4847357	28	702505	3	150	55.0		GCA_034008295.1	Enterobacter chinensis	3030997	1,131567,2,3379134,1224,1236,91347,543,547,3030997	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter chinensis				2		3379134	1224	1236	91347	543	547	3030997						https://genome.ucsc.edu/h/GCF_034008295.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/034/008/295/GCF_034008295.1/genes/GCF_034008295.1_ASM3400829v1.ncbiGene.gtf.gz
41	588	GCF_035747985.1	GCF_035747985.1	True	Complete Genome	current	2.0	4487528	2	4345934	1	45	41.5		GCA_035747985.1	Providencia stuartii	588	1,131567,2,3379134,1224,1236,91347,1903414,586,588	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia stuartii				2		3379134	1224	1236	91347	1903414	586	588						https://genome.ucsc.edu/h/GCF_035747985.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/035/747/985/GCF_035747985.1/genes/GCF_035747985.1_ASM3574798v1.ncbiGene.gtf.gz
AV1	2529381	GCF_035835995.1	GCF_035835995.1	True	Complete Genome	current	1.0	4821649	1	4821649	1	655	56.0		GCA_035835995.1	Enterobacter wuhouensis	2529381	1,131567,2,3379134,1224,1236,91347,543,547,2529381	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter wuhouensis				2		3379134	1224	1236	91347	543	547	2529381						https://genome.ucsc.edu/h/GCF_035835995.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/035/835/995/GCF_035835995.1/genes/GCF_035835995.1_ASM3583599v1.ncbiGene.gtf.gz
WMD-P2	85581	GCF_038086725.1	GCF_038086725.1	True	Complete Genome	current	3.0	4498533	3	3239756	1	1	41.0		GCA_038086725.1	Photobacterium damselae	38293	1,131567,2,3379134,1224,1236,135623,641,657,38293,85581	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium damselae				2		3379134	1224	1236	135623	641	657	38293						https://genome.ucsc.edu/h/GCF_038086725.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/038/086/725/GCF_038086725.1/genes/GCF_038086725.1_ASM3808672v1.ncbiGene.gtf.gz
ESC1	407152	GCF_038433355.1	GCF_038433355.1	True	Contig	current		5634663	55	192833	9	215	55.5		GCA_038433355.1	Brucella cytisi	407152	1,131567,2,3379134,1224,28211,356,118882,2826938,234,407152	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella cytisi				2		3379134	1224	28211	356	118882	234	407152						https://genome.ucsc.edu/h/GCF_038433355.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/038/433/355/GCF_038433355.1/genes/GCF_038433355.1_ASM3843335v1.ncbiGene.gtf.gz
E20191216	2497875	GCF_039718975.1	GCF_039718975.1	True	Complete Genome	current	2.0	4919140	2	4664824	1	1	55.5		GCA_039718975.1	Enterobacter chuandaensis	2497875	1,131567,2,3379134,1224,1236,91347,543,547,354276,2497875	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter chuandaensis				2		3379134	1224	1236	91347	543	547	2497875						https://genome.ucsc.edu/h/GCF_039718975.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/039/718/975/GCF_039718975.1/genes/GCF_039718975.1_ASM3971897v1.ncbiGene.gtf.gz
WHO_Z_2024	485	GCF_040366825.1	GCF_040366825.1	False	Complete Genome	current	2.0	2233504	2	2229351	1	1	52.5		GCA_040366825.1	Neisseria gonorrhoeae	485	1,131567,2,3379134,1224,28216,206351,481,482,485	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae				2		3379134	1224	28216	206351	481	482	485						https://genome.ucsc.edu/h/GCF_040366825.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/040/366/825/GCF_040366825.1/genes/GCF_040366825.1_WHO_Z_2024.ncbiGene.gtf.gz
WHO_Y_2024	485	GCF_040367275.1	GCF_040367275.1	False	Complete Genome	current	2.0	2233133	2	2228980	1	1	52.5		GCA_040367275.1	Neisseria gonorrhoeae	485	1,131567,2,3379134,1224,28216,206351,481,482,485	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae				2		3379134	1224	28216	206351	481	482	485						https://genome.ucsc.edu/h/GCF_040367275.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/040/367/275/GCF_040367275.1/genes/GCF_040367275.1_WHO_Y_2024.ncbiGene.gtf.gz
WHO_X_2024	485	GCF_040368535.1	GCF_040368535.1	False	Complete Genome	current	2.0	2175265	2	2171112	1	1	52.5		GCA_040368535.1	Neisseria gonorrhoeae	485	1,131567,2,3379134,1224,28216,206351,481,482,485	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae				2		3379134	1224	28216	206351	481	482	485						https://genome.ucsc.edu/h/GCF_040368535.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/040/368/535/GCF_040368535.1/genes/GCF_040368535.1_WHO_X_2024.ncbiGene.gtf.gz
WHO_V_2024	485	GCF_040369685.1	GCF_040369685.1	False	Complete Genome	current	3.0	2232864	3	2221284	1	1	52.5		GCA_040369685.1	Neisseria gonorrhoeae	485	1,131567,2,3379134,1224,28216,206351,481,482,485	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae				2		3379134	1224	28216	206351	481	482	485						https://genome.ucsc.edu/h/GCF_040369685.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/040/369/685/GCF_040369685.1/genes/GCF_040369685.1_WHO_V_2024.ncbiGene.gtf.gz
WHO_U_2024	485	GCF_040370845.1	GCF_040370845.1	False	Complete Genome	current	2.0	2238422	2	2234269	1	1	52.5		GCA_040370845.1	Neisseria gonorrhoeae	485	1,131567,2,3379134,1224,28216,206351,481,482,485	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae				2		3379134	1224	28216	206351	481	482	485						https://genome.ucsc.edu/h/GCF_040370845.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/040/370/845/GCF_040370845.1/genes/GCF_040370845.1_WHO_U_2024.ncbiGene.gtf.gz
WHO_S2_2024	485	GCF_040371445.1	GCF_040371445.1	False	Complete Genome	current	2.0	2176284	2	2172077	1	1	52.5		GCA_040371445.1	Neisseria gonorrhoeae	485	1,131567,2,3379134,1224,28216,206351,481,482,485	Bacteria	Bacteria		Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae				2		3379134	1224	28216	206351	481	482	485						https://genome.ucsc.edu/h/GCF_040371445.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/040/371/445/GCF_040371445.1/genes/GCF_040371445.1_WHO_S2_2024.ncbiGene.gtf.gz
